estado,pop_alvo,pop_alvo_ratio,pj_tamanho,pj_investimento
RJ,9.8,0.0985,1,0.386794407996819
MG,9.1,0.0914,0.925051122284505,0.279074415082105
ES,2,0.0204,0.185773622679362,0.342328028586362
SC,5.2,0.0525,0.519698213779535,0.442194897165211
RS,8.2,0.0818,0.825521813395033,0.435691757469327
PR,2.9,0.0293,0.277575020318167,0
SE,2,0.0202,0.183309397818713,0.577632628364666
RN,2.9,0.0289,0.274015549542332,0.520216019657911
PI,3,0.0302,0.287294582554514,0.861237636955865
PE,8.1,0.0809,0.816184766134508,0.560839036329281
PB,2.9,0.0294,0.278646522481777,0.545710318139512
MA,5.8,0.0582,0.579099850320227,0.836657003036733
CE,7,0.0698,0.699907326150239,0.65906858363397
BA,9.7,0.0973,0.987020431132139,0.431985926186501
AL,2.8,0.0289,0.264539909899262,0.609973272270207
TO,0.3,0.0026,0,0.656268900994283
RR,0.3,0.0033,0.006886733937143,0.338211026841286
RO,1.5,0.0153,0.131802087985766,0.943071433036614
PA,7.5,0.0756,0.761133884425459,0.922915989708045
AP,0.8,0.0085,0.056489941330968,1
AM,1.6,0.0159,0.138255786101224,0.84058534866786
AC,0.9,0.0085,0.061558657003204,0.888041154434649
MT,1.3,0.0129,0.107240589054235,0.453634811710599
MS,1.1,0.0113,0.090482834941179,0.38493510718673
GO,3,0.0297,0.282637983099051,0.160917897641034
